surface	path	source_ref	live_state	line_count_or_size	bucket	decision_note
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/FEPの操作的分解型_v03.md	refs/stash	missing	18219 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/FEPの操作的分解型_v05.md	refs/stash	untracked	28058 bytes	compare-with-live	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/LLMに身体はあるか_統合草稿.md	refs/stash	missing	316056 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/LLMは心を持つか_英語版草稿.md	refs/stash	missing	66183 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/README.md	refs/stash	untracked	3348 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/T9自己診断反論マッピング.md	refs/stash	missing	6066 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/_archive/body_A_B_drafts/LLMに身体はあるか_構成案.md	refs/stash	missing	10368 bytes	archive-reference	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/_archive/body_A_B_drafts/paper_a_body.md.bak	refs/stash	missing	248568 bytes	archive-reference	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/_archive/body_A_B_drafts/paper_b_measurement.md.bak_step1	refs/stash	missing	248568 bytes	archive-reference	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/_archive/body_A_B_drafts/論文A_LLMに身体はあるか_日本語草稿.md	refs/stash	missing	54690 bytes	archive-reference	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/_archive/body_A_B_drafts/論文A_LLMに身体はあるか_草稿.md	refs/stash	missing	118511 bytes	archive-reference	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/_archive/body_A_B_drafts/論文B_デジタル身体性の測定_日本語草稿.md	refs/stash	missing	106382 bytes	archive-reference	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/_archive/body_A_B_drafts/論文B_デジタル身体性の測定_草稿.md	refs/stash	missing	157540 bytes	archive-reference	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/_archive/mind_sources/LLMは心を持つか_たたき台.md	refs/stash	missing	76924 bytes	archive-reference	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/_archive/mind_sources/意識の2圏的定義_定義ノート.md	refs/stash	missing	11164 bytes	archive-reference	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/fig1_coherence_invariance.png	refs/stash	missing	60598 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig1_body_spectrum.pdf	refs/stash	missing	28983 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig1_body_spectrum.png	refs/stash	missing	226798 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig1_coherence_invariance.pdf	refs/stash	missing	34714 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig1_coherence_invariance.png	refs/stash	missing	171137 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig2_crossmodel_invariance.pdf	refs/stash	missing	33113 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig2_crossmodel_invariance.png	refs/stash	missing	169696 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig2_hs_measurement.pdf	refs/stash	missing	29607 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig2_hs_measurement.png	refs/stash	missing	238560 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig2_temporal_growth.png	refs/stash	missing	279065 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig3_coherence_distribution.pdf	refs/stash	missing	20980 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig3_coherence_distribution.png	refs/stash	missing	86884 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig3_hs_by_condition.png	refs/stash	missing	126365 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig3_temporal_growth.pdf	refs/stash	missing	29607 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig3_temporal_growth.png	refs/stash	missing	250989 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig4_chunk_count_transition.pdf	refs/stash	missing	17892 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig4_chunk_count_transition.png	refs/stash	missing	96398 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig4_functor_diagram.pdf	refs/stash	missing	33088 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig4_functor_diagram.png	refs/stash	missing	261612 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig4_transition_asymmetry.png	refs/stash	missing	132685 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig5_convergence_invariance.pdf	refs/stash	missing	22376 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig5_convergence_invariance.png	refs/stash	missing	121644 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig5_functor_diagram.png	refs/stash	missing	130323 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig5_theta_components.pdf	refs/stash	missing	29102 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/figures/fig5_theta_components.png	refs/stash	missing	349131 bytes	restore-candidate	present in refs/stash but absent from current HEAD
