trial_idx,condition,task,trial_num,input_tokens,output_tokens,thinking_tokens,elapsed_seconds,output_file,timestamp
55,B_HiStr_LoCon,T3,8,229,2840,0,46.61,raw_B_HiStr_LoCon_T3_008.json,2026-04-09T07:29:55.656222+00:00
57,B_HiStr_LoCon,T5,23,228,2899,0,33.58,raw_B_HiStr_LoCon_T5_023.json,2026-04-09T07:30:52.672382+00:00
58,A_HiStr_HiCon,T3,23,781,3013,0,39.24,raw_A_HiStr_HiCon_T3_023.json,2026-04-09T07:31:51.917395+00:00
59,C_LoStr_HiCon,T3,23,579,2419,0,40.93,raw_C_LoStr_HiCon_T3_023.json,2026-04-09T07:32:52.846694+00:00
60,C_LoStr_HiCon,T1,19,530,2246,0,29.07,raw_C_LoStr_HiCon_T1_019.json,2026-04-09T07:33:44.741124+00:00
61,D_LoStr_LoCon,T4,14,27,2353,0,34.94,raw_D_LoStr_LoCon_T4_014.json,2026-04-09T07:34:39.677758+00:00
62,A_HiStr_HiCon,T4,28,755,3016,0,42.35,raw_A_HiStr_HiCon_T4_028.json,2026-04-09T07:35:42.028798+00:00
63,C_LoStr_HiCon,T4,4,553,2405,0,33.53,raw_C_LoStr_HiCon_T4_004.json,2026-04-09T07:36:35.561483+00:00
64,D_LoStr_LoCon,T2,24,29,3689,0,36.18,raw_D_LoStr_LoCon_T2_024.json,2026-04-09T07:37:34.580578+00:00
66,A_HiStr_HiCon,T3,15,781,3647,0,45.42,raw_A_HiStr_HiCon_T3_015.json,2026-04-09T07:38:39.999996+00:00
67,C_LoStr_HiCon,T3,18,579,2148,0,30.18,raw_C_LoStr_HiCon_T3_018.json,2026-04-09T07:39:30.180739+00:00
68,A_HiStr_HiCon,T4,26,755,4343,0,53.43,raw_A_HiStr_HiCon_T4_026.json,2026-04-09T07:40:43.612223+00:00
69,D_LoStr_LoCon,T3,4,27,2696,0,37.67,raw_D_LoStr_LoCon_T3_004.json,2026-04-09T07:41:41.285593+00:00
70,D_LoStr_LoCon,T5,9,26,2031,0,24.97,raw_D_LoStr_LoCon_T5_009.json,2026-04-09T07:42:26.252170+00:00
71,D_LoStr_LoCon,T4,24,27,1733,0,29.76,raw_D_LoStr_LoCon_T4_024.json,2026-04-09T07:43:16.010732+00:00
72,D_LoStr_LoCon,T4,23,27,1813,0,31.5,raw_D_LoStr_LoCon_T4_023.json,2026-04-09T07:44:07.509885+00:00
73,D_LoStr_LoCon,T4,12,27,2733,0,31.18,raw_D_LoStr_LoCon_T4_012.json,2026-04-09T07:44:58.693012+00:00
