trial_idx,condition,task,trial_num,input_tokens,output_tokens,thinking_tokens,elapsed_seconds,output_file,timestamp
0,B_HiStr_LoCon,T2,1,232,3805,5657,49.02,raw_B_HiStr_LoCon_T2_001.json,2026-04-09T00:47:32.400131+00:00
1,C_LoStr_HiCon,T1,1,531,1778,2603,23.36,raw_C_LoStr_HiCon_T1_001.json,2026-04-09T00:47:56.758619+00:00
2,B_HiStr_LoCon,T1,1,234,3566,6690,49.56,raw_B_HiStr_LoCon_T1_001.json,2026-04-09T00:48:47.316033+00:00
3,B_HiStr_LoCon,T2,0,232,3794,5111,42.86,raw_B_HiStr_LoCon_T2_000.json,2026-04-09T00:49:31.176792+00:00
4,D_LoStr_LoCon,T2,0,30,3594,2931,36.91,raw_D_LoStr_LoCon_T2_000.json,2026-04-09T00:50:09.088295+00:00
5,C_LoStr_HiCon,T2,0,532,0,5085,28.23,raw_C_LoStr_HiCon_T2_000.json,2026-04-09T00:50:38.321980+00:00
6,D_LoStr_LoCon,T1,0,32,1429,1608,18.13,raw_D_LoStr_LoCon_T1_000.json,2026-04-09T00:50:57.449975+00:00
7,C_LoStr_HiCon,T1,0,531,1594,2099,20.59,raw_C_LoStr_HiCon_T1_000.json,2026-04-09T00:51:19.038370+00:00
8,A_HiStr_HiCon,T1,1,733,2984,3877,33.36,raw_A_HiStr_HiCon_T1_001.json,2026-04-09T00:51:53.397892+00:00
9,A_HiStr_HiCon,T2,0,734,3780,5052,46.77,raw_A_HiStr_HiCon_T2_000.json,2026-04-09T00:52:41.173076+00:00
10,D_LoStr_LoCon,T1,1,32,1461,2384,23.2,raw_D_LoStr_LoCon_T1_001.json,2026-04-09T00:53:05.369763+00:00
11,D_LoStr_LoCon,T2,1,30,4157,3102,38.83,raw_D_LoStr_LoCon_T2_001.json,2026-04-09T00:53:45.205253+00:00
12,B_HiStr_LoCon,T1,0,234,3348,5006,37.02,raw_B_HiStr_LoCon_T1_000.json,2026-04-09T00:54:23.228791+00:00
13,C_LoStr_HiCon,T2,1,532,2853,2060,26.68,raw_C_LoStr_HiCon_T2_001.json,2026-04-09T00:54:50.910111+00:00
14,A_HiStr_HiCon,T1,0,733,2538,3632,28.74,raw_A_HiStr_HiCon_T1_000.json,2026-04-09T00:55:20.648743+00:00
15,A_HiStr_HiCon,T2,1,734,4270,4274,41.91,raw_A_HiStr_HiCon_T2_001.json,2026-04-09T00:56:03.564515+00:00
