trial_idx,condition,task,trial_num,input_tokens,output_tokens,thinking_tokens,elapsed_seconds,output_file,timestamp
0,C_LoStr_HiCon,T1,9,531,1563,1825,20.59,raw_C_LoStr_HiCon_T1_009.json,2026-04-09T03:17:37.506831+00:00
1,D_LoStr_LoCon,T1,3,32,1592,1761,19.89,raw_D_LoStr_LoCon_T1_003.json,2026-04-09T03:17:58.396701+00:00
2,B_HiStr_LoCon,T1,3,234,3080,3652,34.93,raw_B_HiStr_LoCon_T1_003.json,2026-04-09T03:18:34.332468+00:00
5,C_LoStr_HiCon,T2,5,532,3191,2975,34.68,raw_C_LoStr_HiCon_T2_005.json,2026-04-09T03:19:10.018628+00:00
6,A_HiStr_HiCon,T1,8,733,3326,4709,40.72,raw_A_HiStr_HiCon_T1_008.json,2026-04-09T03:19:51.743449+00:00
7,C_LoStr_HiCon,T1,6,531,1815,1826,22.2,raw_C_LoStr_HiCon_T1_006.json,2026-04-09T03:20:14.944475+00:00
8,C_LoStr_HiCon,T2,7,532,3050,2980,40.36,raw_C_LoStr_HiCon_T2_007.json,2026-04-09T03:20:56.309451+00:00
9,B_HiStr_LoCon,T2,9,232,5040,6520,59.36,raw_B_HiStr_LoCon_T2_009.json,2026-04-09T03:21:56.672725+00:00
10,A_HiStr_HiCon,T2,5,734,4350,4796,46.89,raw_A_HiStr_HiCon_T2_005.json,2026-04-09T03:22:44.563499+00:00
11,D_LoStr_LoCon,T2,2,30,4291,1794,35.79,raw_D_LoStr_LoCon_T2_002.json,2026-04-09T03:23:21.357130+00:00
12,C_LoStr_HiCon,T2,9,532,3414,1671,29.78,raw_C_LoStr_HiCon_T2_009.json,2026-04-09T03:23:52.136346+00:00
13,B_HiStr_LoCon,T2,8,232,4132,4650,44.29,raw_B_HiStr_LoCon_T2_008.json,2026-04-09T03:24:37.427899+00:00
14,C_LoStr_HiCon,T1,2,531,2283,2355,26.59,raw_C_LoStr_HiCon_T1_002.json,2026-04-09T03:25:05.014432+00:00
15,D_LoStr_LoCon,T1,2,32,1655,1945,22.03,raw_D_LoStr_LoCon_T1_002.json,2026-04-09T03:25:28.042772+00:00
16,B_HiStr_LoCon,T1,5,234,3473,8188,59.71,raw_B_HiStr_LoCon_T1_005.json,2026-04-09T03:26:28.749533+00:00
17,C_LoStr_HiCon,T2,6,532,3624,2008,32.7,raw_C_LoStr_HiCon_T2_006.json,2026-04-09T03:27:02.453591+00:00
18,D_LoStr_LoCon,T2,6,30,2768,2380,30.45,raw_D_LoStr_LoCon_T2_006.json,2026-04-09T03:27:50.697395+00:00
21,C_LoStr_HiCon,T2,3,532,3940,1871,34.8,raw_C_LoStr_HiCon_T2_003.json,2026-04-09T03:28:26.503352+00:00
22,A_HiStr_HiCon,T2,8,734,9104,5751,71.55,raw_A_HiStr_HiCon_T2_008.json,2026-04-09T03:29:39.050546+00:00
23,D_LoStr_LoCon,T1,7,32,1616,1433,18.88,raw_D_LoStr_LoCon_T1_007.json,2026-04-09T03:29:58.936084+00:00
24,A_HiStr_HiCon,T2,9,734,3699,7131,54.23,raw_A_HiStr_HiCon_T2_009.json,2026-04-09T03:31:12.320515+00:00
26,C_LoStr_HiCon,T1,3,531,1733,2526,23.05,raw_C_LoStr_HiCon_T1_003.json,2026-04-09T03:31:43.947363+00:00
27,C_LoStr_HiCon,T1,7,531,1966,1207,17.22,raw_C_LoStr_HiCon_T1_007.json,2026-04-09T03:32:02.169441+00:00
