model_name,elo_norm,avg_discarded,avg_preserved,gap,n_scenarios,demonstrated_empathy,warmth,social_dexterity,humanlike,analytical,depth_of_insight,pragmatic_ei,safety_conscious,moralising,compliant
openrouter/horizon-alpha,1568.09,17.153846153846153,18.543589743589745,1.389743589743592,26,18.23076923076923,15.26923076923077,17.384615384615383,17.73076923076923,18.884615384615383,18.4,18.346153846153847,16.76923076923077,6.961538461538462,12.461538461538462
moonshotai/Kimi-K2-Instruct,1565.33,17.26923076923077,18.171794871794873,0.9025641025641029,26,18.423076923076923,15.576923076923077,16.923076923076923,18.153846153846153,18.692307692307693,18.4,17.423076923076923,16.46153846153846,8.26923076923077,13.23076923076923
o3,1500.0,16.89423076923077,18.050427350427352,1.156196581196582,26,17.96153846153846,15.5,16.615384615384617,17.5,18.76923076923077,18.266666666666666,17.115384615384617,16.076923076923077,7.423076923076923,12.192307692307692
gemini-2.5-pro-preview-06-05,1470.25,17.173076923076923,18.062937062937063,0.88986013986014,26,18.46153846153846,15.384615384615385,17.192307692307693,17.653846153846153,18.692307692307693,17.727272727272727,17.76923076923077,15.73076923076923,7.038461538461538,14.038461538461538
openai/chatgpt-4o-latest,1370.68,16.85576923076923,17.345299145299144,0.4895299145299141,26,17.692307692307693,15.923076923076923,16.576923076923077,17.23076923076923,17.807692307692307,17.266666666666666,16.96153846153846,15.192307692307692,8.615384615384615,13.461538461538462
gpt-5-chat-latest-2025-08-07,1357.09,16.557692307692307,17.928490028490028,1.3707977207977216,26,17.615384615384617,14.692307692307692,16.46153846153846,17.46153846153846,18.653846153846153,17.977777777777778,17.153846153846153,15.923076923076923,6.923076923076923,13.192307692307692
chatgpt-4o-latest,1320.91,16.41346153846154,17.066096866096867,0.652635327635327,26,17.346153846153847,15.73076923076923,15.961538461538462,16.615384615384617,17.692307692307693,17.044444444444444,16.46153846153846,16.0,7.961538461538462,13.961538461538462
zai-org/GLM-4.5,1311.71,16.134615384615383,17.55213675213675,1.417521367521367,26,17.192307692307693,14.692307692307692,15.76923076923077,16.884615384615383,18.653846153846153,17.733333333333334,16.26923076923077,15.538461538461538,8.76923076923077,14.192307692307692
o4-mini,1291.0,15.990384615384617,17.06894586894587,1.0785612535612543,26,17.03846153846154,14.884615384615385,15.538461538461538,16.5,18.153846153846153,16.822222222222223,16.23076923076923,15.846153846153847,8.538461538461538,14.423076923076923
anthropic/claude-opus-4,1290.01,16.5,17.272364672364674,0.7723646723646738,26,17.5,15.307692307692308,15.76923076923077,17.423076923076923,18.346153846153847,17.355555555555554,16.115384615384617,15.615384615384615,8.692307692307692,12.73076923076923
